deadhead_id,arrival_time,departure_time,stop_id,location_sequence,shape_dist_traveled,ops_location_id
55846017,11:28:00,11:28:00,900,2,,
55846018,06:15:00,06:15:00,,1,,47800
55846018,06:31:00,06:31:00,900,2,,
55846019,06:10:00,06:10:00,,1,,47800
55846019,06:20:00,06:20:00,210,2,,
55846020,18:20:00,18:20:00,900,1,,
55846020,18:43:00,18:43:00,,2,,47800
55846021,19:15:00,19:15:00,900,1,,
55846021,19:36:00,19:36:00,,2,,47800
55846022,14:35:00,14:35:00,,1,,47800
55846022,14:50:00,14:50:00,899,2,,
55846023,13:45:00,13:45:00,,1,,47800
55846023,14:05:00,14:05:00,323,2,,
55846024,19:21:00,19:21:00,6551,1,,
55846024,19:34:00,19:34:00,,2,,47800
55846025,19:20:00,19:20:00,899,1,,
55846025,19:36:00,19:36:00,,2,,47800
55846026,16:44:00,16:44:00,8178,1,,
55846026,17:08:00,17:08:00,,2,,47800
55846027,13:05:00,13:05:00,6551,1,,
55846027,13:18:00,13:18:00,,2,,47800
55846028,19:43:00,19:43:00,903,1,,
55846028,20:02:00,20:02:00,,2,,47800
55846029,10:10:00,10:10:00,17861,1,,
55846029,10:23:00,10:23:00,,2,,47800
55846030,17:44:00,17:44:00,323,1,,
55846030,18:04:00,18:04:00,,2,,47800
55846031,11:30:00,11:30:00,,1,,47800
55846031,11:46:00,11:46:00,900,2,,
55846032,18:54:00,18:54:00,900,1,,
55846032,19:15:00,19:15:00,,2,,47800
55846033,11:39:00,11:39:00,899,1,,
55846033,11:55:00,11:55:00,,2,,47800
55846034,09:02:00,09:02:00,210,1,,
55846034,09:12:00,09:12:00,,2,,47800
55846035,04:50:00,04:50:00,,1,,47800
55846035,05:00:00,05:00:00,17863,2,,
55846036,05:47:00,05:47:00,,1,,47800
55846036,06:08:00,06:08:00,1026,2,,
55846037,15:24:00,15:24:00,,1,,47800
55846037,15:41:00,15:41:00,33,2,,
55846038,09:19:00,09:19:00,899,1,,
55846038,09:35:00,09:35:00,,2,,47800
55846039,15:39:00,15:39:00,,1,,47800
55846039,15:55:00,15:55:00,899,2,,
55846040,16:08:00,16:08:00,,1,,47800
55846040,16:24:00,16:24:00,899,2,,
55846041,11:25:00,11:25:00,6551,1,,
55846041,11:38:00,11:38:00,,2,,47800
55846042,17:19:00,17:19:00,323,1,,
55846042,17:39:00,17:39:00,,2,,47800
55846043,15:56:00,15:56:00,8178,1,,
55846043,16:20:00,16:20:00,,2,,47800
55846044,04:15:00,04:15:00,,1,,47800
55846044,04:30:00,04:30:00,900,2,,
55846045,05:44:00,05:44:00,,1,,47800
55846045,06:00:00,06:00:00,900,2,,
55846046,09:40:00,09:40:00,6551,1,,
55846046,09:53:00,09:53:00,,2,,47800
55846047,16:11:00,16:11:00,,1,,47800
55846047,16:30:00,16:30:00,8178,2,,
55846048,16:44:00,16:44:00,903,1,,
55846048,17:04:00,17:04:00,,2,,47800
55846049,15:59:00,15:59:00,903,1,,
55846049,16:19:00,16:19:00,,2,,47800
55846050,21:32:00,21:32:00,899,1,,
55846050,21:48:00,21:48:00,,2,,47800
